Campaign,Ad Group,Keyword,Match Type,Keyword Type
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 東京,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 大阪,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 名古屋,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 札幌,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 仙台,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 横浜,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 千葉,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 埼玉,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 川口,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ さいたま,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 神戸,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 京都,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 福岡,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 広島,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 宇都宮,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ つくば,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 三重,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 佐賀,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 香川,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 高松,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 東大阪,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 江戸川区,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 渋谷,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 新宿,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 町田,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 八王子,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 豊田,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 浜松,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 静岡,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 鹿児島,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 函館,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 岡山,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 熊本,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 金沢,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 新潟,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 那覇,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 大阪,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 名古屋,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 福岡,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 埼玉,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 広島,Phrase,Positive
GLP1_注射（マンジャロ）,エリア_マンジャロ,マンジャロ 処方 横浜,Phrase,Positive
