# Yahoo着物買取 除外キーワードリスト (検索語句分析 全期間 CPA¥30,788/分岐≒¥30,000)
# ※フレーズ除外が使えないため完全一致クエリで列挙。登録時はスペース詰めで入力。
# CV実績のある語(福ちゃん/大吉本体/口コミ/相場/評判/着物高価買取ランキング)は温存。
除外キーワード,推奨マッチタイプ,カテゴリ,CV,コスト(円),備考
# == おすすめ系 (比較検討意図・全CV0 計¥95,029) ==
着物買取おすすめ,完全一致除外,比較検討意図,0,35378,
着物出張買取おすすめ,完全一致除外,比較検討意図,0,27788,
出張買取おすすめ,完全一致除外,比較検討意図,0,3792,
着物宅配買取おすすめ,完全一致除外,比較検討意図,0,3407,
宅配買取おすすめ,完全一致除外,比較検討意図,0,2467,
買取宅配おすすめ,完全一致除外,比較検討意図,0,2314,
出張買取神奈川おすすめ,完全一致除外,比較検討意図,0,2224,
着物買取りおすすめ,完全一致除外,比較検討意図,0,1833,
おすすめ買取業者,完全一致除外,比較検討意図,0,1655,
出張買取サービスおすすめ,完全一致除外,比較検討意図,0,1574,
買取おすすめ,完全一致除外,比較検討意図,0,1307,
骨董品買取業者おすすめ,完全一致除外,比較検討意図,0,1292,
着物買取業者おすすめ,完全一致除外,比較検討意図,0,1200,
着物買取店おすすめ,完全一致除外,比較検討意図,0,842,
# == ランキング系 (比較検討意図 計¥122,105 ※着物高価買取ランキングはCV1で温存) ==
着物買取ランキング,完全一致除外,比較検討意図,0,20826,
出張買取口コミランキング,完全一致除外,比較検討意図,0,19290,
着物買取口コミ評判ランキング,完全一致除外,比較検討意図,0,13934,
買取口コミランキング,完全一致除外,比較検討意図,0,9790,
高価買取ランキング,完全一致除外,比較検討意図,0,8462,
買取屋ランキング,完全一致除外,比較検討意図,0,6162,
出張買取業者ランキング,完全一致除外,比較検討意図,0,4562,
出張買取ランキング,完全一致除外,比較検討意図,0,3170,
買取宅配ランキング,完全一致除外,比較検討意図,0,2640,
着物買取口コミランキング,完全一致除外,比較検討意図,0,2263,
着物買取業者ランキング,完全一致除外,比較検討意図,0,1975,
買取サービスランキング,完全一致除外,比較検討意図,0,1950,
買取ショップランキング,完全一致除外,比較検討意図,0,1398,
中古品買取ランキング,完全一致除外,比較検討意図,0,1034,
# == 不用品系 (着物以外・総合リユース 全CV0 計¥45,801) ==
不用品買取どこがいい,完全一致除外,非着物,0,40728,
不用品買取福ちゃん,完全一致除外,非着物,0,978,
不用品買取どこがいい高評価,完全一致除外,非着物,0,889,
不用品高額買取,完全一致除外,非着物,0,781,
不用品を売るなら,完全一致除外,非着物,0,745,
不用品高価買取,完全一致除外,非着物,0,475,
不用品宅配買取,完全一致除外,非着物,0,447,
不用品売るなら,完全一致除外,非着物,0,400,
# == 着物以外の品目 (全CV0) ==
骨董品買取福ちゃん,完全一致除外,非着物品目,0,3091,
骨董品買取注意点,完全一致除外,非着物品目,0,666,
骨董品福ちゃん,完全一致除外,非着物品目,0,470,
毛皮福ちゃん,完全一致除外,非着物品目,0,436,
コメ兵買取ノンブランド,完全一致除外,非着物品目,0,817,
# == その他CV0高コスト単体 ==
買取,完全一致除外,広すぎ単体ワード,0,49123,
買取大吉評判,完全一致除外,競合の評判確認(大吉本体は温存),0,29300,
