除外キーワード,推奨マッチタイプ,カテゴリ,推定削減コスト(円),クリック数,該当クエリ数,CV,確信度,備考
通販,フレーズ除外,購入・入手意図,62605,194,165,1,高,CV0近辺・誤クリック
ネット,フレーズ除外,購入・入手意図,33902,76,82,1,高,CV0近辺・誤クリック
購入,フレーズ除外,購入・入手意図,31721,103,77,1,高,CV0近辺・誤クリック
販売,フレーズ除外,購入・入手意図,8876,32,43,0,中,CV0近辺・誤クリック
市販,フレーズ除外,OTC・非診療,71058,353,352,3,高,一部CVあり(3)要確認
ランキング,フレーズ除外,情報収集,15786,81,112,1,高,CV0近辺・誤クリック
強さ,フレーズ除外,情報収集,10767,56,97,1,中,CV0近辺・誤クリック
おすすめ,フレーズ除外,情報収集,47887,154,139,3,中,一部CVあり(3)要確認
口コミ,フレーズ除外,情報収集,18402,58,61,0,中,CV0近辺・誤クリック
最強,フレーズ除外,情報収集,2437,13,33,0,中,CV0近辺・誤クリック
デエビゴ,フレーズ除外,薬剤名指名,208369,734,524,7,中,一部CVあり(7)要確認
ルネスタ,フレーズ除外,薬剤名指名,30194,102,103,2,中,一部CVあり(2)要確認
リスミー,フレーズ除外,薬剤名指名,10182,49,72,0,中,CV0近辺・誤クリック
