全体順位,開拓優先度スコア,スコア(視覚),大分類,セグメント,地域,入札高(円),月間検索計,推定市場規模(円/月),セグメント内順位
1,100,████████████████████,害獣,ねずみ,東京,1605,52720,84615600,1
2,82,████████████████····,住まい,カギ,東京,807,85620,69095340,1
3,75,███████████████·····,水回り,水漏れ,東京,1315,48210,63396150,1
4,67,█████████████·······,水回り,雨漏り,東京,4144,13770,57062880,1
5,43,█████████···········,水回り,水漏れ,神奈川,1291,28380,36638580,2
6,40,████████············,水回り,雨漏り,神奈川,4028,8430,33956040,2
7,39,████████············,害獣,ねずみ,神奈川,1091,29950,32675450,2
8,36,███████·············,水回り,水漏れ,千葉,1565,19310,30220150,3
9,34,███████·············,水回り,水漏れ,埼玉,1282,22550,28909100,4
10,34,███████·············,住まい,カギ,神奈川,673,42980,28925540,2
11,30,██████··············,害虫,ハチ,東京,583,42890,25004870,1
12,29,██████··············,害虫,害虫,東京,505,48640,24563200,1
13,29,██████··············,害虫,シロアリ,東京,724,34070,24666680,1
14,27,█████···············,害獣,ねずみ,埼玉,1173,19410,22767930,3
15,27,█████···············,住まい,カギ,埼玉,593,38040,22557720,3
16,25,█████···············,住まい,カギ,千葉,629,33770,21241330,4
17,22,████················,水回り,雨漏り,埼玉,2622,6940,18196680,3
18,22,████················,水回り,雨漏り,千葉,2851,6620,18873620,4
19,21,████················,害獣,ねずみ,千葉,1090,16290,17756100,4
20,17,███·················,害虫,ハチ,埼玉,711,20560,14618160,2
21,16,███·················,住まい,カギ,茨城,563,23590,13281170,5
22,16,███·················,害虫,ハチ,千葉,700,19040,13328000,3
23,16,███·················,害虫,シロアリ,神奈川,625,22040,13775000,2
24,13,███·················,水回り,水漏れ,茨城,910,11720,10665200,5
25,13,███·················,害虫,シロアリ,千葉,661,16720,11051920,3
26,13,███·················,害虫,害虫,神奈川,392,28030,10987760,2
27,13,███·················,害虫,ハチ,神奈川,495,21410,10597950,4
28,11,██··················,害獣,ねずみ,茨城,781,11390,8895590,5
29,11,██··················,水回り,水漏れ,栃木,981,9820,9633420,6
30,11,██··················,住まい,カギ,栃木,471,20160,9495360,6
31,11,██··················,水回り,雨漏り,群馬,2178,4290,9343620,5
32,11,██··················,害虫,シロアリ,埼玉,518,17920,9282560,4
33,11,██··················,住まい,ガラス,東京,694,13810,9584140,1
34,10,██··················,害虫,ハチ,茨城,594,14320,8506080,5
35,10,██··················,水回り,水漏れ,群馬,918,9390,8620020,7
36,10,██··················,住まい,カギ,群馬,426,19750,8413500,7
37,10,██··················,害虫,害虫,埼玉,355,24400,8662000,3
38,10,██··················,害虫,害虫,千葉,363,23720,8610360,4
39,8,██··················,害虫,ハチ,栃木,590,11560,6820400,6
40,8,██··················,害獣,ねずみ,栃木,743,8730,6486390,6
41,8,██··················,害獣,ねずみ,群馬,779,8500,6621500,7
42,8,██··················,住まい,ガラス,埼玉,752,8760,6587520,2
43,8,██··················,住まい,ガラス,神奈川,674,9450,6369300,3
44,7,█···················,害虫,シロアリ,茨城,500,11790,5895000,5
45,7,█···················,害虫,ハチ,群馬,593,10100,5989300,7
46,7,█···················,住まい,ガラス,千葉,737,7580,5586460,4
47,6,█···················,住まい,ガラス,茨城,716,6590,4718440,5
48,6,█···················,害虫,シロアリ,群馬,546,9110,4974060,6
49,5,█···················,害虫,害虫,茨城,208,18350,3816800,5
50,5,█···················,害虫,害虫,群馬,258,14840,3828720,6
51,4,█···················,害虫,害虫,栃木,200,15940,3188000,7
52,4,█···················,害虫,シロアリ,栃木,403,8710,3510130,7
53,4,█···················,住まい,ガラス,栃木,660,5710,3768600,6
54,4,█···················,住まい,ガラス,群馬,638,5650,3604700,7
55,3,█···················,水回り,雨漏り,茨城,450,5250,2362500,6
56,3,█···················,水回り,雨漏り,栃木,598,4890,2924220,7
57,1,····················,害獣,害獣,埼玉,340,1390,472600,1
58,1,····················,害獣,害獣,千葉,551,1310,721810,2
59,1,····················,害獣,害獣,東京,388,2420,938960,3
60,1,····················,害獣,害獣,神奈川,788,1520,1197760,4
61,0,····················,害獣,害獣,茨城,342,1180,403560,5
62,0,····················,害獣,害獣,栃木,277,1020,282540,6
63,0,····················,害獣,害獣,群馬,378,1020,385560,7
