大分類,セグメント,地域,入札高(円),入札低(円),月間検索計,KW数
害虫,害虫,茨城,208,44,18350,1359
害虫,シロアリ,茨城,500,80,11790,825
害虫,ハチ,茨城,594,146,14320,691
害獣,害獣,茨城,342,111,1180,121
害獣,ねずみ,茨城,781,163,11390,846
水回り,水漏れ,茨城,910,162,11720,725
水回り,雨漏り,茨城,450,118,5250,492
住まい,ガラス,茨城,716,140,6590,576
住まい,カギ,茨城,563,131,23590,2066
害虫,害虫,栃木,200,53,15940,1359
害虫,シロアリ,栃木,403,70,8710,825
害虫,ハチ,栃木,590,145,11560,691
害獣,害獣,栃木,277,74,1020,121
害獣,ねずみ,栃木,743,133,8730,846
水回り,水漏れ,栃木,981,208,9820,725
水回り,雨漏り,栃木,598,168,4890,492
住まい,ガラス,栃木,660,165,5710,576
住まい,カギ,栃木,471,109,20160,2066
害虫,害虫,群馬,258,47,14840,1359
害虫,シロアリ,群馬,546,87,9110,825
害虫,ハチ,群馬,593,89,10100,691
害獣,害獣,群馬,378,200,1020,121
害獣,ねずみ,群馬,779,145,8500,846
水回り,水漏れ,群馬,918,188,9390,725
水回り,雨漏り,群馬,2178,123,4290,492
住まい,ガラス,群馬,638,129,5650,576
住まい,カギ,群馬,426,121,19750,2066
害虫,害虫,埼玉,355,73,24400,1359
害虫,シロアリ,埼玉,518,91,17920,825
害虫,ハチ,埼玉,711,140,20560,691
害獣,害獣,埼玉,340,103,1390,121
害獣,ねずみ,埼玉,1173,214,19410,846
水回り,水漏れ,埼玉,1282,247,22550,725
水回り,雨漏り,埼玉,2622,206,6940,492
住まい,ガラス,埼玉,752,154,8760,576
住まい,カギ,埼玉,593,165,38040,2066
害虫,害虫,千葉,363,67,23720,1359
害虫,シロアリ,千葉,661,89,16720,825
害虫,ハチ,千葉,700,157,19040,691
害獣,害獣,千葉,551,135,1310,121
害獣,ねずみ,千葉,1090,190,16290,846
水回り,水漏れ,千葉,1565,243,19310,725
水回り,雨漏り,千葉,2851,204,6620,492
住まい,ガラス,千葉,737,135,7580,576
住まい,カギ,千葉,629,177,33770,2066
害虫,害虫,東京,505,98,48640,1359
害虫,シロアリ,東京,724,118,34070,825
害虫,ハチ,東京,583,111,42890,691
害獣,害獣,東京,388,114,2420,121
害獣,ねずみ,東京,1605,294,52720,846
水回り,水漏れ,東京,1315,213,48210,725
水回り,雨漏り,東京,4144,212,13770,492
住まい,ガラス,東京,694,153,13810,576
住まい,カギ,東京,807,241,85620,2066
害虫,害虫,神奈川,392,75,28030,1359
害虫,シロアリ,神奈川,625,113,22040,825
害虫,ハチ,神奈川,495,95,21410,691
害獣,害獣,神奈川,788,140,1520,121
害獣,ねずみ,神奈川,1091,243,29950,846
水回り,水漏れ,神奈川,1291,218,28380,725
水回り,雨漏り,神奈川,4028,228,8430,492
住まい,ガラス,神奈川,674,140,9450,576
住まい,カギ,神奈川,673,196,42980,2066
