除外キーワード,推奨マッチタイプ,カテゴリ,推定削減コスト(円),クリック数,該当クエリ数,確信度,備考
# == A. フレーズ除外:語句を含む検索を広く除外(まず適用推奨)==,,,,,,,
人気,フレーズ除外,情報収集・非売却意図,37719,748,98,高,カメラ購入/利用検討の検索。買取意図なし
ナニワ,フレーズ除外,競合買取店(非CV),12383,64,98,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
ランキング,フレーズ除外,情報収集・非売却意図,11435,102,85,高,カメラ購入/利用検討の検索。買取意図なし
撮影,フレーズ除外,情報収集・非売却意図,10006,145,246,高,カメラ購入/利用検討の検索。買取意図なし
フジヤ,フレーズ除外,競合買取店(非CV),9920,68,79,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
バイセル,フレーズ除外,競合買取店(非CV),8519,26,11,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
セカンドストリート,フレーズ除外,競合買取店(非CV),8007,56,20,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
野球,フレーズ除外,情報収集・非売却意図,7311,112,80,高,カメラ購入/利用検討の検索。買取意図なし
買う,フレーズ除外,情報収集・非売却意図,7011,90,102,高,カメラ購入/利用検討の検索。買取意図なし
初心者,フレーズ除外,情報収集・非売却意図,6968,95,93,高,カメラ購入/利用検討の検索。買取意図なし
スポーツ,フレーズ除外,情報収集・非売却意図,6377,92,135,高,カメラ購入/利用検討の検索。買取意図なし
ハードオフ,フレーズ除外,競合買取店(非CV),5386,36,55,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
大吉,フレーズ除外,競合買取店(非CV),5294,27,6,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
シーン,フレーズ除外,情報収集・非売却意図,5045,28,11,高,カメラ購入/利用検討の検索。買取意図なし
比較,フレーズ除外,情報収集・非売却意図,3659,18,109,高,カメラ購入/利用検討の検索。買取意図なし
ゲオ,フレーズ除外,競合買取店(非CV),3565,23,17,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
大黒屋,フレーズ除外,競合買取店(非CV),3161,10,7,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
運動会,フレーズ除外,情報収集・非売却意図,2644,44,62,高,カメラ購入/利用検討の検索。買取意図なし
質屋,フレーズ除外,競合買取店(非CV),1549,5,11,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
購入,フレーズ除外,情報収集・非売却意図,1344,13,34,高,カメラ購入/利用検討の検索。買取意図なし
コメ兵,フレーズ除外,競合買取店(非CV),995,8,12,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
じゃんぱら,フレーズ除外,競合買取店(非CV),60,1,17,中,競合指名。獲得方針で判断。キタムラ/マップ/セカストはCVありのため除外しない
# == B. 完全一致除外:買取意図を含まない周辺クエリのみ限定除外 ==,,,,,,,
一眼レフカメラ,完全一致除外,非売却・周辺クエリ,10181,205,1,中,買取意図を含まない検索。完全一致でピンポイント除外
フィルムカメラ,完全一致除外,非売却・周辺クエリ,5948,61,1,中,買取意図を含まない検索。完全一致でピンポイント除外
マップカメラ,完全一致除外,非売却・周辺クエリ,5290,44,1,中,買取意図を含まない検索。完全一致でピンポイント除外
カメラのキタムラ中古,完全一致除外,非売却・周辺クエリ,5003,93,1,中,買取意図を含まない検索。完全一致でピンポイント除外
